投票区,番号,住所,備考,名称
16,8,大阪府箕面市箕面５丁目１１番２３号,中央生涯学習センター 西側,No.8 中央生涯学習センター 西側
17,1,大阪府箕面市稲２丁目５番１２号先,ポケットパーク南側道路柵,No.1 ポケットパーク南側道路柵
17,2,大阪府箕面市稲４丁目２番先,新西脇橋北側ガードレール,No.2 新西脇橋北側ガードレール
17,3,大阪府箕面市稲４丁目３番１２号,第五中学校北側,No.3 第五中学校北側
17,4,大阪府箕面市稲６丁目２番先,攝津電機工業 東側,No.4 攝津電機工業 東側
17,5,大阪府箕面市稲６丁目１４番内,稲南公園 西側,No.5 稲南公園 西側
17,6,大阪府箕面市稲５丁目１１番先,布ケ池 東側,No.6 布ケ池 東側
17,7,大阪府箕面市稲３丁目８番先,芝西バス停 西側,No.7 芝西バス停 西側
18,1,大阪府箕面市西小路３丁目４番１号,いきいき活動センター 南側,No.1 いきいき活動センター 南側
18,2,大阪府箕面市西小路３丁目８番内,滝ヶ花公園 北側,No.2 滝ヶ花公園 北側
18,3,大阪府箕面市稲１丁目１０番内,ライフ入口 北側,No.3 ライフ入口 北側
18,4,大阪府箕面市稲１丁目１５番８号,中小学校 南側,No.4 中小学校 南側
18,5,大阪府箕面市稲１丁目４番先,コープこうべ前歩道橋 北側,No.5 コープこうべ前歩道橋 北側
18,6,大阪府箕面市箕面４丁目９番内,蓮池 南側,No.6 蓮池 南側
18,7,大阪府箕面市箕面４丁目９番内,箕面団地東側フェンス,No.7 箕面団地東側フェンス
19,1,大阪府箕面市箕面５丁目４番２６号先,道路柵,No.1 道路柵
19,2,大阪府箕面市箕面３丁目４番１号,北小学校 南側,No.2 北小学校 南側
19,3,大阪府箕面市箕面３丁目４番１号,北小学校 東側,No.3 北小学校 東側
19,4,大阪府箕面市箕面３丁目８番内,松尾山東遊園 東側,No.4 松尾山東遊園 東側
19,5,大阪府箕面市箕面４丁目１６番先,ソレーユ箕面 東側,No.5 ソレーユ箕面 東側
19,6,大阪府箕面市箕面３丁目１８番内,道路柵,No.6 道路柵
19,7,大阪府箕面市箕面５丁目１２番地内,フェンス,No.7 フェンス
20,1,大阪府箕面市船場西２丁目１２番内,杉谷南公園 南側,No.1 杉谷南公園 南側
20,2,大阪府箕面市船場西２丁目１１番内,杉谷公園東側道路柵,No.2 杉谷公園東側道路柵
20,3,大阪府箕面市船場西２丁目３番先,新船場西公園 北側,No.3 新船場西公園 北側
20,4,大阪府箕面市船場西１丁目１１番４４号,萱野小コミセン くすの木の家北側,No.4 萱野小コミセン くすの木の家北側
20,5,大阪府箕面市船場西３丁目４番内,新船場南公園 南側,No.5 新船場南公園 南側
20,6,大阪府箕面市船場西２丁目２番内,箕面船場阪大前駅歩行者デッキ,No.6 箕面船場阪大前駅歩行者デッキ
20,7,大阪府箕面市萱野５丁目２番内,市立病院 北側入口 道路向かい,No.7 市立病院 北側入口 道路向かい
20,8,大阪府箕面市萱野５丁目７番内,市立病院 東側柵,No.8 市立病院 東側柵
21,1,大阪府箕面市萱野３丁目４番内,芝分団格納庫 南側,No.1 芝分団格納庫 南側
21,2,大阪府箕面市萱野３丁目６番９号,麻生様宅 北側,No.2 麻生様宅 北側
21,3,大阪府箕面市萱野２丁目７番４０号,萱野小学校 南側,No.3 萱野小学校 南側
21,4,大阪府箕面市萱野１丁目１９番４号,萱野中央人権文化センター 東側,No.4 萱野中央人権文化センター 東側
21,5,大阪府箕面市坊島１丁目１１番内,唐池 西側,No.5 唐池 西側
21,6,大阪府箕面市萱野１丁目１５番１２号,第二中学校 西側,No.6 第二中学校 西側
21,7,大阪府箕面市萱野１丁目１５番１２号,第二中学校グラウンド 北側,No.7 第二中学校グラウンド 北側
22,1,大阪府箕面市如意谷２丁目１番３８号,奥納様宅 北東側,No.1 奥納様宅 北東側
22,2,大阪府箕面市如意谷４丁目５番先,宝珠院 東側,No.2 宝珠院 東側
22,3,大阪府箕面市坊島４丁目１６番先,白島バス停 西側（新御堂筋北行）,No.3 白島バス停 西側（新御堂筋北行）
22,4,大阪府箕面市白島３丁目１番７号先,駐車場 南側,No.4 駐車場 南側
22,5,大阪府箕面市如意谷１丁目４番４０号,アーバンクリフ箕面 北側,No.5 アーバンクリフ箕面 北側
22,6,大阪府箕面市如意谷２丁目８番先,如意谷2丁目交差点南側,No.6 如意谷2丁目交差点南側
22,7,大阪府箕面市如意谷２丁目１０番４５号,萱北小コミセン如意谷の里 南側,No.7 萱北小コミセン如意谷の里 南側
23,1,大阪府箕面市如意谷３丁目８番２１号,如意谷団地集会所 西側(ベンチ西側),No.1 如意谷団地集会所 西側(ベンチ西側)
23,2,大阪府箕面市如意谷４丁目６番内,山手公園 南側バス停,No.2 山手公園 南側バス停
23,3,大阪府箕面市如意谷３丁目２番内,山麓公園 東側,No.3 山麓公園 東側
23,4,大阪府箕面市如意谷３丁目４番１号,箕面市営如意谷住宅 東側,No.4 箕面市営如意谷住宅 東側
23,5,大阪府箕面市如意谷５丁目１番先,コスモフォレスタ箕面 管理棟 道路向かい,No.5 コスモフォレスタ箕面 管理棟 道路向かい
23,6,大阪府箕面市如意谷４丁目４番先,萱野北小学校 正門 左側,No.6 萱野北小学校 正門 左側
23,7,大阪府箕面市如意谷４丁目６番内,萱野北小学校 北側,No.7 萱野北小学校 北側
24,1,大阪府箕面市船場東３丁目１６番１号,旧船場東受水場 西側,No.1 旧船場東受水場 西側
24,2,大阪府箕面市船場東３丁目７番内,箕面船場阪大前駅,No.2 箕面船場阪大前駅
