通し番号 投票区 番号 設置場所 設置説明
167 23 2 豊原町９ 豊原町児童遊園西側鉄柵
168 23 3 東福井二丁目４－２０ 福井小学校南門東側塀
169 23 4 東福井二丁目５ 福井宮の前バス停(下り)歩道鉄柵
170 23 5 東福井三丁目１７ 上福井バス停(山手台行き)歩道鉄柵
171 23 6 西福井一丁目１４ 福井バス停(粟生団地行き)歩道鉄柵
172 23 7 西福井二丁目３ 府営住宅入口植栽帯鉄柵
173 24 1 桑原 桑原橋バス停(上り)歩道鉄柵
174 24 2 桑原３５３－１ 桑原自治会館東側フェンス（道路向き設置）
175 24 3 桑原 桑原奥条サンサン児童遊園東側フェンス
176 24 4 桑原 サニータウン入口歩道鉄柵
177 24 5 大門寺 大門寺代替宅地内歩道鉄柵
178 24 6 生保 生保バス停西側ガードレール
179 25 1 大岩３４７－１先 農協石河支所向かい側のガードレール
180 25 2 大岩５３４ 国見株集会所前鉄柵
181 25 3 大岩 旧大岩バス停鉄柵
182 25 4 大岩 岡宅北西側道路ガードレール
183 25 5 大岩 大岩東児童遊園東側金網
184 26 1 車作 せせらぎ公園南側フェンス
185 26 2 車作 車作バス停北側鉄柵
186 26 3 車作１ 車作自治会館前の鉄柵
187 26 4 車作 旧車作クラブ北側道路ガードレール
188 26 5 車作 板谷バス停(忍頂寺行き)横ガードレール
189 26 6 安元 門宅南側水路鉄柵
190 26 7 安元 門宅前道路法面
191 27 1 忍頂寺 忍頂寺自治会館南側ガードレール
192 27 2 忍頂寺 豊浦宅西側ガードレール
193 27 3 清阪 清阪地区入口のガードレール
194 27 4 下音羽１６３ 見山公民館前歩道鉄柵
195 27 5 下音羽 茨木農村婦人の家南側ガ-ドレ-ル
196 27 6 長谷 長谷口バス停(上り)横ガ－ドレ－ル
197 27 7 下音羽 猪谷宅南側ガードレール
198 28 1 銭原 稲葉庄バス停(上り)横ガードレール
199 28 2 銭原 ㈱車川組前ガードレール
200 28 3 銭原 車川庄バス停(上り)横ガードレール
201 28 4 銭原 銭原児童遊園南側ガードレール
202 28 5 銭原 銭原クラブ前バス停(上り)ガ-ドレ-ル
203 28 6 銭原 銭原バス停北側鉄柵
204 29 1 上音羽 上音羽口バス停（下り）横鉄柵郵便ポストの横
205 29 2 上音羽 桜の苑１前ガードレール
206 29 3 上音羽 上音羽児童遊園金網
207 29 4 上音羽 上音羽クラブ裏出入口ガードレール
208 29 5 上音羽 鎌谷宅南側府道ガードレール
209 29 6 上音羽 西ノ坊宅前ガードレール
210 30 1 泉原 南条バス停(下り)横ガ－ドレ－ル
211 30 2 泉原 北辰出張所前歩道鉄柵
212 30 3 泉原 大谷宅東側道路鉄柵
213 30 4 泉原 西谷宅南側ガ－ドレ－ル
214 30 5 泉原 泉原老人集会所金網
215 30 6 泉原 千提寺口バス停(上り)歩道鉄柵
216 30 7 千提寺 集落センター東側道路ガードレール
217 31 1 佐保 下辻宅東側府道ガードレール
218 31 2 佐保 馬場新橋北側歩道鉄柵
219 31 3 佐保 東藤宅前ガードレール
220 31 4 佐保 西上宅前ガ－ドレ－ル
221 31 5 佐保 免山バス停(上り)前ガ－ドレ－ル
222 31 6 佐保 免山バス停(下り)前鉄柵
223 31 7 佐保 馬場バス停南側鉄柵
224 32 1 宿久庄五丁目１４ 豊川小学校南通用門付近の白いフェンス
225 32 2 清水一丁目１４ 地頭所宅南側道路鉄柵
226 32 3 宿久庄四丁目１６ 宿久庄四丁目児童遊園北側フェンス
227 32 4 南清水町３ 南清水町交差点南東
228 32 5 宿久庄四丁目 生田宅南側ガ－ドレ－ル
229 32 6 宿久庄五丁目１４－５ 豊川小学校西通用門付近の白いフェンス
230 33 1 藤の里二丁目１６ 豊川コミュニティセンター南側フェンス
231 33 2 豊川一丁目６ 鍛冶屋橋北側道路東側鉄柵
232 33 3 豊川四丁目４ 豊川いのち愛ゆめセンター正門東側歩道鉄柵
233 33 4 豊川四丁目４ 豊川いのち愛ゆめセンター南側歩道鉄柵
234 33 5 藤の里一丁目８ 藤の里公園東側フェンス
235 33 6 豊川四丁目３２ さいのもと保育園北側ガードレール
236 33 7 宿久庄一丁目３ 宿久庄東村児童遊園金網
237 34 1 沢良宜西三丁目１１ 沢良宜西三丁目第２児童遊園東側フェンス
238 34 2 沢良宜西二丁目１０－１５ シャロームＣ棟東側水路鉄柵
239 34 3 沢良宜西三丁目８ 天王中学校北側道路鉄柵
240 34 4 沢良宜西三丁目１ 沢良宜西区画整理一号公園南側金網
241 34 5 沢良宜西三丁目８ 天王中学校正門南側金網
242 34 6 沢良宜西四丁目７ グローバル・サイト茨木東側水路鉄柵
243 34 7 大正町９ ライオンズマンション北側水路鉄柵
244 35 1 松ケ本町５ レジオン小島北側歩道鉄柵
245 35 2 松ヶ本町１ 松ヶ本町自転車駐車場北側フェンス
246 35 3 下穂積一丁目４ ローレルコート茨木レジデンス南側水路鉄柵
247 35 4 下穂積一丁目６－１４ 穂積小学校東側水路鉄柵
248 35 5 下穂積二丁目６－２２ 穂積小学校正門東側鉄柵
249 35 6 下穂積二丁目６－２２ 穂積小学校西門前水路鉄柵
250 35 7 下穂積四丁目５ 竹ケ池南側金網
251 35 8 穂積台９ 穂積台第二児童遊園北側金網
252 36 1 並木町２ 西田モータープール西側歩道鉄柵
253 36 2 玉瀬町６ 玉瀬北公園南側金網
254 36 3 水尾四丁目７－１６ 水尾小学校正門横の塀（フェンス）
255 36 4 玉瀬町１－５ 岡村宅東側水路鉄柵
256 36 5 玉瀬町１４ 玉瀬南公園西側金網
257 36 6 玉瀬町２５ 内瀬土地区画整理１号公園東側金網
258 36 7 玉瀬町４１ カーサ・アルゴⅡ北西側水路鉄柵
259 37 1 総持寺台１－２６ アプロ東側道路鉄柵
260 37 2 総持寺台３ 総持寺団地３号棟西側鉄柵
261 37 3 総持寺台６ 総持寺団地６号棟西側鉄柵
262 37 4 中総持寺町３－３ 有森宅南側水路鉄柵
263 37 5 中総持寺町９ ｋ’ｓコート西側ガ－ドレ－ル
264 37 6 橋の内二丁目７ 橋の内北公園西側金網
265 37 7 橋の内二丁目２ 田原宅南側水路鉄柵
266 38 1 新中条町１ デイリーカナートイズミヤ北側道路鉄柵
267 38 2 新中条町７－１２ 中条小学校正門南側金網
268 38 3 奈良町７ シャイン・ビ・グラッド東側歩道鉄柵
269 38 4 奈良町５ 奈良町第１児童遊園南側金網
270 38 5 奈良町１７ 奈良東公園東側歩道鉄柵
271 38 6 小川町５－１０ 松田宅西側水路鉄柵
272 38 7 小川町２ 市民体育館北側植裁
273 38 8 岩倉町２ 岩倉公園北側道路鉄柵
274 39 1 稲葉町１５ 市川宅南側水路鉄柵
275 39 2 舟木町１８－３０ 西川印刷所西側水路鉄柵
276 39 3 舟木町１０ 大池コミュニティセンター東側水路鉄柵
277 39 4 舟木町１－１１ 林泉第３ビル東側水路鉄柵
278 39 5 舟木町１８ クレ－ル舟木南側水路鉄柵
279 39 6 双葉町１１ 双葉町駐車場南側フェンス
280 39 7 双葉町１４－１７ シャンピアコート茨木西側水路鉄柵
281 40 1 大池一丁目１２ 大池西公園南側植栽
282 40 2 大池一丁目５－８ 大池小学校東門の塀
283 40 3 大池二丁目１４ 大池公園西側金網
284 40 4 大池二丁目１７ 茶谷宅西側水路鉄柵
285 40 5 大池二丁目２９ 西岡宅東側道路鉄柵
286 40 6 園田町４ イオン第１駐車場北側金網
287 40 7 園田町１ 牟禮墓地北側歩道植栽
